人	人[00]
儿	人[02]
𠂊	人[04]
𠂉	人[06]
匕	人[01]
卩	人[03]
尸	人[05]
水	水[00]
冫	水[02]
川	水[04]
巛	水[06]
月	水[01]
夕	水[03]
回	水[05]
雨	水[07]
大	大[00]
立	大[02]
兀	大[04]
欠	大[06]
女	大[01]
文	大[03]
見	大[05]
艮	大[07]
尤	大[08]
亦	大[09]
丮	大[10]
夫	大[20]
旡	大[21]
木	木[00]
不	木[02]
竹	木[01]
才	木[03]
瓜	木[05]
口	口[00]
甘	口[02]
厶	口[04]
言	口[01]
舌	口[03]
公	口[05]
土	土[00]
山	土[02]
阜	土[04]
厂	土[06]
田	土[01]
用	土[03]
石	土[05]
甫	土[07]
丘	土[08]
一	十[00]
二	十[02]
卜	十[04]
上	十[06]
丨	十[01]
十	十[03]
廿	十[05]
中	十[07]
下	十[08]
キ	十[09]
金	金[00]
王	金[02]
士	金[04]
勿	金[06]
刀	金[01]
半	金[03]
七	金[05]
卯	金[07]
牛	牛[00]
馬	牛[02]
虎	牛[04]
豸	牛[06]
羊	牛[01]
豕	牛[03]
犬	牛[05]
鹿	牛[07]
火	火[00]
气	火[02]
日	火[01]
白	火[03]
心	肉[00]
肉	肉[02]
頁	肉[04]
冎	肉[06]
目	肉[01]
耳	肉[03]
自	肉[05]
牙	肉[07]
而	肉[08]
齒	肉[09]
冄	肉[20]
歹	肉[12]
囟	肉[14]
糸	幺[00]
幺	幺[02]
网	幺[04]
衣	幺[01]
衤	幺[03]
巾	幺[05]
冃	幺[07]
子	子[00]
了	子[02]
巳	子[04]
㠯	子[06]
勹	子[01]
从	子[03]
千	子[05]
北	子[07]
母	子[08]
身	子[09]
艹	艸[00]
屮	艸[02]
生	艸[04]
𠂹	艸[06]
禾	艸[01]
米	艸[03]
丰	艸[05]
齊	艸[07]
䒑	隹[00]
爲	隹[02]
皮	隹[04]
毛	隹[06]
彑	隹[08]
釆	隹[20]
隹	隹[01]
鳥	隹[03]
西	隹[05]
习	隹[07]
烏	隹[09]
非	隹[21]
邑	邑[00]
辛	邑[02]
耂	邑[04]
長	邑[06]
示	邑[01]
且	邑[03]
申	邑[05]
亡	邑[07]
臣	邑[08]
鬼	邑[09]
氏	邑[20]
疒	邑[21]
㇕	㇕[00]
冂	㇕[02]
四	㇕[04]
亞	㇕[06]
乚	㇕[01]
凵	㇕[03]
匚	㇕[05]
丩	㇕[07]
龴	㇕[08]
亼	食[00]
凡	食[02]
其	食[04]
臼	食[06]
食	食[01]
皿	食[03]
酉	食[05]
豆	食[07]
婁	食[08]
斗	食[09]
手	手[00]
寸	手[02]
爪	手[04]
攴	手[06]
又	手[01]
廾	手[03]
𠂇	手[05]
彐	手[07]
九	手[08]
尹	手[09]
宀	广[00]
圍	广[02]
門	广[04]
戶	广[06]
亠	广[01]
广	广[03]
京	广[05]
内	广[07]
穴	广[08]
入	广[09]
囪	广[20]
井	广[21]
止	止[00]
夂	止[02]
之	止[04]
㐄	止[06]
行	止[01]
辵	止[03]
走	止[05]
足	止[07]
癶	止[08]
廴	止[09]
工	工[00]
丁	工[02]
丂	工[04]
业	工[06]
力	工[01]
方	工[03]
斤	工[05]
午	工[07]
予	工[08]
耒	工[09]
革	工[20]
虫	虫[00]
巴	虫[02]
也	虫[04]
黽	虫[06]
貝	虫[01]
魚	虫[03]
辰	虫[05]
龍	虫[07]
龜	虫[09]
車	車[00]
東	車[02]
南	車[04]
曲	車[06]
舟	車[01]
几	車[03]
爿	車[05]
冊	車[07]
瓦	車[08]
丶	乂[00]
小	乂[02]
⺍	乂[04]
三	乂[06]
丿	乂[01]
八	乂[03]
乂	乂[05]
彡	乂[07]
𠂆	乂[09]
戈	戈[00]
戊	戈[02]
殳	戈[04]
干	戈[06]
弓	戈[01]
弋	戈[03]
矢	戈[05]
至	戈[07]
甲	戈[08]
由	戈[09]
