丁	一卜
瓦	一巛
一	一添
臣	七一
至	七二
旡	七儿
牙	七卜
戊	七大
七	七寸
匚	七添
戈	七竹
弋	七言
王	三一
長	三七
𡗗	三人
耳	三十
丰	三卜
三	三寸
馬	三米
耒	三曲
之	之一
冖	之之
穴	之人
黽	之又
宀	之寸
心	之巛
衤	之广
户	之竹
礻	之言
子	乙一
乙	乙七
己	乙乙
巳	乙二
也	乙卜
㠯	乙又
阝	乙口
刀	乙寸
弓	乙巛
习	乙广
巴	乙曲
㇆	乙添
卩	乙目
力	乙竹
廴	乙言
土	二一
士	二二
走	二人
工	二卜
二	二寸
亞	二巛
示	二曲
耂	二竹
夫	二言
八	人米
行	人卜
食	人又
人	人寸
乂	人言
魚	儿一
氏	儿七
𧘇	儿之
勹	儿乙
欠	儿人
匕	儿儿
夂	儿卜
儿	儿寸
鳥	儿巛
烏	儿川
𠂊	儿添
夕	儿言
勿	儿斤
龜	儿又
廿	十一
其	十三
甘	十二
革	十十
艹	十卜
十	十寸
㐄	十口
華	十川
上	卜一
虎	卜七
齒	卜人
止	卜卜
卜	卜寸
丨	卜添
韋	又口
了	又乙
彐	又二
艮	又人
皮	又卜
癶	又米
尹	又大
門	又寸
㇕	又添
尸	又竹
又	又言
口	口一
足	口卜
中	口口
圍	口寸
虫	口巛
丆	大竹
石	大一
辰	大七
頁	大人
尤	大儿
不	大卜
厂	大大
大	大寸
𠂇	大添
乑	大川
豕	大月
而	大目
犬	大言
扌	寸添
寸	寸言
糸	巛一
母	巛乙
乡	巛人
凵	巛卜
彑	巛又
爿	巛大
巛	巛寸
幺	巛巛
乚	巛添
女	巛竹
厶	巛言
亻	川添
身	川三
臼	川二
隹	川卜
片	川又
鬼	川口
川	川寸
白	川曲
自	川目
疒	广一
北	广卜
鹿	广又
广	广大
冫	广寸
金	斤一
彡	斤三
舟	斤乙
丘	斤二
斤	斤寸
𠂆	斤斤
豸	斤月
釆	斤梄
爪	斤添
瓜	斤言
日	曲一
非	曲三
甲	曲乙
由	曲二
小	曲人
田	曲卜
婁	曲巛
刂	曲寸
申	曲梄
水	曲添
业	曲米
丹	月添
九	月乙
用	月二
風	月卜
殳	月又
丸	月口
几	月寸
月	月一
犭	月竹
凡	月言
木	梄一
甫	梄二
西	梄口
酉	梄寸
車	梄曲
雨	梄添
⺍	添寸
氵	添添
且	目三
骨	目之
目	目一
貝	目人
見	目儿
巾	目卜
咼	目口
冂	目寸
四	目曲
皿	目梄
山	目目
𠂉	竹一
毛	竹七
生	竹三
气	竹乙
牛	竹二
攵	竹人
千	竹十
舌	竹卜
矢	竹大
手	竹寸
禾	竹梄
丿	竹添
竹	竹竹
䒑	米一
羊	米三
半	米二
火	米人
忄	米卜
丷	米寸
米	米梄
灬	米言
亠	言一
亡	言七
方	言乙
文	言人
辛	言十
龍	言卜
言	言寸
丶	言添
立	言米
鬥	三三
兀	一儿
衣	言儿
丂	一乙
爲	斤米
屮	巛曲
亦	言曲
干	一十
コ	又一
曲	曲曲
卯	儿竹
亼	人一
龴	又巛
キ	二十
予	又又
弔	乙米
𠁼	添言
𣥂	曲斤
䏑	儿广
下	一一
囟	川之
午	十竹
廾	大十
齊	言二
丩	巛斤
冊	目十
召	儿口
